Semester,Academic Year,Course ID Number,Subject ,Course Number,Section,Course Type,Enrollment as of Add Date,# majored in STEM,Days,Start Time,End Time,Enrollment End of Term,Enrollment as of Census
Fall,2021-2022,1038,BIO,105,2-1,Laboratory,12,4,T,08:30am,11:25am,14,
Fall,2021-2022,1039,BIO,105,2-2,Laboratory,11,4,R,08:30am,11:25am,15,
Fall,2021-2022,1036,BIO,105,1-1,Laboratory,11,5,T,01:30pm,04:25pm,14,
Fall,2021-2022,1037,BIO,105,1-2,Laboratory,15,5,R,01:30pm,04:25pm,15,
Fall,2021-2022,1035,BIO,105,2,Lecture,23,8,TR,01:30pm,02:55pm,29,
Fall,2021-2022,1034,BIO,105,1,Lecture,26,10,TR,10:15am,11:40am,29,
Fall,2021-2022,1041,BIO,115,1-1,Laboratory,13,5,W,01:30pm,04:25pm,14,
Fall,2021-2022,1042,BIO,115,1-2,Laboratory,13,6,R,01:30pm,04:25pm,14,
Fall,2021-2022,1040,BIO,115,1,Lecture,26,11,MWF,09:45am,10:40am,28,
Fall,2021-2022,1045,BIO,130,1-2,Laboratory,13,9,T,01:30pm,04:25pm,15,
Fall,2021-2022,1044,BIO,130,1-1,Laboratory,14,10,M,03:15pm,06:10pm,15,
Fall,2021-2022,1043,BIO,130,1,Lecture,27,19,MWF,11:00am,11:55am,30,
Fall,2021-2022,1342,CHEM,120,3,Lecture,31,14,MWF,11:00am,11:55am,29,
Fall,2021-2022,1341,CHEM,120,2,Lecture,29,16,MWF,09:45am,10:40am,30,
Fall,2021-2022,1349,CHEM,130,0,Lecture,8,6,MWF,11:00am,11:55am,7,
Fall,2021-2022,1345,CHEM,120L,3,Laboratory,5,1,W,01:30pm,04:25pm,3,
Fall,2021-2022,1346,CHEM,120L,4,Laboratory,9,2,W,06:30pm,09:30pm,8,
Fall,2021-2022,1344,CHEM,120L,2,Laboratory,12,6,T,01:30pm,04:25pm,12,
Fall,2021-2022,1347,CHEM,120L,5,Laboratory,13,6,R,08:30am,11:25am,13,
Fall,2021-2022,1348,CHEM,120L,6,Laboratory,11,6,R,01:30pm,04:25pm,11,
Fall,2021-2022,1343,CHEM,120L,1,Laboratory,11,9,T,08:30am,11:25am,12,
Fall,2021-2022,1351,CHEM,130L,2,Laboratory,3,2,W,01:30pm,04:25pm,2,
Fall,2021-2022,1350,CHEM,130L,1,Laboratory,5,4,T,01:30pm,04:25pm,5,
Fall,2021-2022,1294,MATH,110,1,Lecture,22,5,MWF,11:00am,11:55am,27,
Fall,2021-2022,1295,MATH,110,1-1,Additional Meeting Time,22,5,T,10:15am,11:40am,27,
Fall,2021-2022,1296,MATH,110,2,Lecture,32,5,MWF,08:30am,09:25am,32,
Fall,2021-2022,1297,MATH,110,2-1,Additional Meeting Time,32,5,R,08:30am,09:55am,32,
Fall,2021-2022,1298,MATH,110,3,Lecture,25,7,MWF,01:30pm,02:25pm,27,
Fall,2021-2022,1300,MATH,110,3-2,Additional Meeting Time,26,7,T,01:30pm,02:55pm,27,
Fall,2021-2022,1302,MATH,114,1-1,Additional Meeting Time,2,1,R,03:15pm,04:40pm,2,
Fall,2021-2022,1303,MATH,114,1-2,Additional Meeting Time,4,3,R,01:30pm,02:55pm,5,
Fall,2021-2022,1301,MATH,114,1,Lecture,6,4,MWF,02:45pm,03:40pm,7,
Fall,2021-2022,1629,MATH,120,2-2,Additional Meeting Time,8,2,R,01:30pm,02:55pm,8,
Fall,2021-2022,1628,MATH,120,2-1,Additional Meeting Time,8,3,R,10:15am,11:40am,9,
Fall,2021-2022,1640,MATH,120,2,Lecture,16,5,MWF,02:45pm,03:40pm,17,
Fall,2021-2022,1627,MATH,120,1-1,Additional Meeting Time,14,6,T,08:30am,09:55am,15,
Fall,2021-2022,1639,MATH,120,1,Lecture,14,6,MWF,09:45am,10:40am,15,
Fall,2021-2022,1594,PHYS,110,2,Lecture,9,4,MWF,01:30pm,02:25pm,11,
Fall,2021-2022,1593,PHYS,110,1,Lecture,13,10,MWF,11:00am,11:55am,13,
Fall,2021-2022,1598,PHYS,115,0,Lecture,3,2,MWF,09:45am,10:40am,11,
Fall,2021-2022,1605,PHYS,230,0,Lecture,4,3,MWF,08:30am,09:25am,9,
Fall,2021-2022,1595,PHYS,110L,1,Laboratory,3,1,M,03:15pm,06:10pm,5,
Fall,2021-2022,1597,PHYS,110L,3,Laboratory,7,6,T,01:30pm,04:25pm,7,
Fall,2021-2022,1596,PHYS,110L,2,Laboratory,12,7,T,08:30am,11:25am,12,
Fall,2021-2022,1599,PHYS,115L,1,Laboratory,2,1,R,08:30am,11:25am,6,
Fall,2021-2022,1600,PHYS,115L,2,Laboratory,1,1,R,01:30pm,04:25pm,5,
Fall,2021-2022,1606,PHYS,230L,1,Laboratory,1,1,R,08:30am,11:25am,4,
Fall,2021-2022,1615,PHYS,230L,2,Laboratory,3,2,R,01:30pm,04:25pm,5,
Fall,2021-2022,1607,PHYS,240L,0,Laboratory,2,2,T,01:30pm,04:25pm,5,
