Combination:,,Fall 2022,Fall 2021,Fall 2019,mean
BIO 105,PHYS 110,1,0,0,
BIO 105,MATH 120,2,2,0,
BIO 105,MATH 110,1,2,2,
BIO 105,CHEM 120,2,2,2,
BIO 105,CHEM 130,0,1,0,
BIO 105,BIO 130,1,1,1,
BIO 105,MATH 114,0,0,1,
BIO 115,CHEM 120,3,5,13,
BIO 115,CHEM 130,0,0,2,
BIO 115,MATH 110,1,1,1,
BIO 115,MATH 114,2,0,2,
BIO 115,MATH 120,0,0,2,
BIO 115,MATH 128,0,0,2,
BIO 115,PHYS 110,0,0,1,
BIO 115,PHYS 230,0,0,1,
BIO 130,CHEM 120,3,2,4,
BIO 130,CHEM 130,1,0,0,
BIO 130,MATH 110,0,0,4,
BIO 130,MATH 120,4,1,1,
BIO 130,MATH 128,0,0,1,
CHEM 120,MATH 110,8,15,11,
CHEM 120,MATH 120,4,2,6,
CHEM 120,MATH 114,4,0,11,
CHEM 120,MATH 128,0,0,3,
CHEM 120,PHYS 110,2,0,1,
CHEM 130,MATH 110,2,1,2,
CHEM 130,MATH 114,1,0,0,
CHEM 130,MATH 120,0,1,2,
CHEM 130,MATH 128,0,0,3,
CHEM 130,PHYS 110,1,0,1,
CHEM 130,PHYS 230,0,0,3,
MATH 110,PHYS 110,6,4,7,
MATH 120,PHYS 110,3,2,3,
MATH 120,PHYS 115,1,1,1,
MATH 114,PHYS 110,5,3,3,
MATH 128,PHYS 110,0,0,2,
MATH 128,PHYS 115,0,0,1,
