Semester,Academic Year,Course ID Number,Subject ,Course Number,Section,Course Type,Enrollment as of Add Date,# majored in STEM,Days,Start Time,End Time,Enrollment End of Term,Enrollment as of Census
Spring,2022-2023,2223,BIO,105,1,Lecture,28,4,TR,10:05am,11:30am,Spring,
Spring,2022-2023,2224,BIO,105,1-1,Laboratory,15,3,T,01:30pm,04:25pm,Spring,
Spring,2022-2023,2225,BIO,105,2-1,Laboratory,14,3,T,04:35pm,07:30pm,Spring,
Spring,2022-2023,2226,BIO,105,2,Lecture,27,3,TR,01:30pm,02:55pm,Spring,
Spring,2022-2023,2227,BIO,105,1-2,Laboratory,13,1,R,01:30pm,04:25pm,Spring,
Spring,2022-2023,2228,BIO,105,2-2,Laboratory,13,0,R,04:35pm,07:30pm,Spring,
Spring,2022-2023,2229,BIO,110,1,Lecture,22,4,R,07:15pm,10:10pm,Spring,
Spring,2022-2023,2230,BIO,110,1-1,Laboratory,9,4,T,01:30pm,04:25pm,Spring,
Spring,2022-2023,2231,BIO,110,1-2,Laboratory,13,0,R,01:30pm,04:25pm,Spring,
Spring,2022-2023,2232,BIO,130,1,Lecture,23,6,MWF,10:40am,11:35am,Spring,
Spring,2022-2023,2267,BIO,130,1-1,Laboratory,13,4,M,03:00pm,05:55pm,Spring,
Spring,2022-2023,2268,BIO,130,2-1,Laboratory,9,6,R,08:30am,11:25am,Spring,
Spring,2022-2023,2269,BIO,130,2,Lecture,23,8,MWF,01:55pm,02:50pm,Spring,
Spring,2022-2023,2270,BIO,130,1-2,Laboratory,10,2,T,01:30pm,04:25pm,Spring,
Spring,2022-2023,2274,BIO,130,2-2,Laboratory,14,2,R,01:30pm,04:25pm,Spring,
Spring,2022-2023,2990,BIO,130,3,Lecture,11,3,MWF,10:40am,11:35am,Spring,
Spring,2022-2023,2991,BIO,130,3-1,Laboratory,7,3,T,08:30am,11:25am,Spring,
Spring,2022-2023,2992,BIO,130,3-2,Laboratory,4,0,W,01:55pm,04:50pm,Spring,
Spring,2022-2023,2271,CHEM,120,1,Lecture,35,2,MWF,08:30am,09:25am,Spring,
Spring,2022-2023,2272,CHEM,120,2,Lecture,30,3,MWF,10:40am,11:35am,Spring,
Spring,2022-2023,2273,CHEM,120L,1,Laboratory,12,1,T,08:30am,11:25am,Spring,
Spring,2022-2023,2275,CHEM,120L,2,Laboratory,14,1,T,01:30pm,04:25pm,Spring,
Spring,2022-2023,2277,CHEM,120L,3,Laboratory,14,0,W,01:55pm,04:50pm,Spring,
Spring,2022-2023,2278,CHEM,120L,4,Laboratory,9,2,R,08:30am,11:25am,Spring,
Spring,2022-2023,2279,CHEM,120L,5,Laboratory,11,1,R,01:30pm,04:25pm,Spring,
Spring,2022-2023,2280,CHEM,120L,6,Laboratory,5,0,W,06:30pm,09:25pm,Spring,
Spring,2022-2023,2281,CHEM,150,0,Lecture,7,5,W,03:00pm,04:30pm,Spring,
Spring,2022-2023,2473,MATH,110,1,Lecture,25,1,MWF,09:35am,10:30am,Spring,
Spring,2022-2023,2474,MATH,110,1-1,Additional Meeting Time,25,1,R,01:30pm,02:55pm,Spring,
Spring,2022-2023,2475,MATH,110,2,Lecture,16,0,MWF,01:55pm,02:50pm,Spring,
Spring,2022-2023,2476,MATH,110,2-1,Additional Meeting Time,16,0,R,01:30pm,02:55pm,Spring,
Spring,2022-2023,2477,MATH,120,1,Lecture,15,1,MWF,10:40am,11:35am,Spring,
Spring,2022-2023,2478,MATH,120,1-1,Additional Meeting Time,11,3,R,10:05am,11:30am,Spring,
Spring,2022-2023,2479,MATH,120,1-2,Additional Meeting Time,8,0,R,01:30pm,02:55pm,Spring,
Spring,2022-2023,2480,MATH,120,2,Lecture,18,4,MWF,11:45am,12:40pm,Spring,
Spring,2022-2023,2481,MATH,120,2-1,Additional Meeting Time,14,2,R,03:05pm,04:30pm,Spring,
Spring,2022-2023,2589,PHYS,115,0,Lecture,7,3,MWF,09:35am,10:30am,Spring,
Spring,2022-2023,2590,PHYS,115L,1,Laboratory,1,1,T,08:30am,11:25am,Spring,
Spring,2022-2023,2591,PHYS,115L,2,Laboratory,6,2,T,01:30pm,04:25pm,Spring,
Spring,2022-2023,2592,PHYS,117,0,Lecture,5,1,MWF,10:40am,11:35am,Spring,
Spring,2022-2023,2593,PHYS,117L,1,Laboratory,2,1,T,08:30am,11:25am,Spring,
Spring,2022-2023,2594,PHYS,117L,2,Laboratory,3,0,T,01:30pm,04:25pm,Spring,
Spring,2022-2023,2595,PHYS,125,0,Lecture,4,1,MWF,11:45am,12:40pm,Spring,
Spring,2022-2023,2596,PHYS,125L,1,Laboratory,2,0,R,08:30am,11:25am,Spring,
Spring,2022-2023,2597,PHYS,125L,2,Laboratory,2,1,R,01:30pm,04:25pm,Spring,
Spring,2022-2023,2598,PHYS,240,0,Lecture,4,3,MWF,09:35am,10:30am,Spring,
Spring,2022-2023,2599,PHYS,240L,0,Laboratory,4,3,R,01:30pm,04:25pm,Spring,
